"mfilter_url_alias_id","path","mfp","alias","language_id","store_id","meta_title","meta_description","meta_keyword","description","h1"
"402","legkovye-shiny","12-[255],13-[70],14-[17]","tyre-size-255-70-r17-vse-shiny-filtering","1","0","Легковые шины  255/70 R17 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  255/70 R17 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  255/70 R17"
"403","legkovye-shiny","12-[215],13-[60],14-[16]","tyre-size-215-60-r16-vse-shiny-filtering","1","0","Легковые шины  215/60 R16 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  215/60 R16 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  215/60 R16"
"404","legkovye-shiny","12-[275],13-[60],14-[18]","tyre-size-275-60-r18-vse-shiny-filtering","1","0","Легковые шины  275/60 R18 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  275/60 R18 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  275/60 R18"
"405","legkovye-shiny","12-[235],13-[70],14-[17]","tyre-size-235-70-r17-vse-shiny-filtering","1","0","Легковые шины  235/70 R17 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  235/70 R17 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  235/70 R17"
"406","legkovye-shiny","12-[255],13-[75],14-[17]","tyre-size-255-75-r17-vse-shiny-filtering","1","0","Легковые шины  255/75 R17 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  255/75 R17 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  255/75 R17"
"407","legkovye-shiny","12-[265],13-[60],14-[20]","tyre-size-265-60-r20-vse-shiny-filtering","1","0","Легковые шины  265/60 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины  265/60 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины  265/60 R20"
"408","legkovye-shiny","12-[245],13-[35],14-[19]","tyre-size-245-35-r19-vse-shiny-filtering","1","0","Легковые шины 245/35 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 245/35 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 245/35 R19"
"409","legkovye-shiny","12-[185],13-[75],14-[16]","tyre-size-185-75-r16-vse-shiny-filtering","1","0","Легковые шины 185/75 R16 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 185/75 R16 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 185/75 R16"
"410","legkovye-shiny","12-[215],13-[35],14-[19]","tyre-size-215-35-r19-vse-shiny-filtering","1","0","Легковые шины 215/35 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 215/35 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 215/35 R19"
"411","legkovye-shiny","12-[215],13-[65],14-[16]","tyre-size-215-65-r16-vse-shiny-filtering","1","0","Легковые шины 215/65 R16 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 215/65 R16 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 215/65 R16"
"412","legkovye-shiny","12-[275],13-[30],14-[19]","tyre-size-275-30-r19-vse-shiny-filtering","1","0","Легковые шины 275/30 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 275/30 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 275/30 R19"
"413","legkovye-shiny","12-[275],13-[50],14-[20]","tyre-size-275-50-r20-vse-shiny-filtering","1","0","Легковые шины 275/50 R20 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 275/50 R20 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 275/50 R20"
"414","legkovye-shiny","12-[275],13-[35],14-[19]","tyre-size-275-35-r19-vse-shiny-filtering","1","0","Легковые шины 275/35 R19 купить недорого в СПб с доставкой в интернет-магазине шин и дисков Kypishiny","Легковые шины 275/35 R19 по выгодным ценам в каталоге интернет-магазина Kypishiny с доставкой по Санкт-Петербургу. Телефон: 8 (812) 504-88-53.",NULL,NULL,"Легковые шины 275/35 R19"
